PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475537520.855,-2.404053E-05, 1.888714E000
1475537522.410,-9.616215E-06, 1.887377E000
1475537523.706,-1.442432E-05, 1.875011E000
1475537525.005,-1.442432E-05, 1.802835E000
1475537526.301,-1.442432E-05, 1.732655E000
1475537527.663,-4.808107E-06, 1.729358E000
1475537528.994,-1.442432E-05, 1.730384E000
1475537530.291,-2.884864E-05, 1.629007E000
1475537531.590,-1.923242E-05, 1.493136E000
1475537533.145,-1.923242E-05, 1.433544E000
1475537534.441,-1.442432E-05, 1.434717E000
1475537535.743,-1.923242E-05, 1.437721E000
1475537537.111,-2.404053E-05, 1.445177E000
1475537538.438,-9.616215E-06, 1.450489E000
1475537539.738,-2.404053E-05, 1.450105E000
1475537541.035,-1.923242E-05, 1.501379E000
1475537542.590,-2.404053E-05, 1.737052E000
1475537544.540,-1.442432E-05, 1.866969E000
1475537545.193,-1.442432E-05, 1.863470E000
1475537559.405,-1.923242E-05, 0.000000E000
1475537560.153,-1.442432E-05, 8.761193E-01
1475537561.481,-1.442432E-05, 7.327556E-05
1475537562.783,-2.884864E-05, 1.844877E000
1475537564.081,-4.808107E-06, 1.843704E000
1475537565.381,-2.404053E-05, 1.819230E000
1475537566.746,-1.923242E-05, 1.670847E000
1475537568.073,-1.442432E-05, 1.541791E000
1475537569.371,-2.404053E-05, 1.537687E000
1475537570.670,-9.616215E-06, 1.538127E000
1475537571.966,-1.923242E-05, 1.545180E000
1475537573.503,-2.884864E-05, 1.559413E000
1475537574.801,-4.808107E-06, 1.559249E000
1475537576.100,-1.923242E-05, 1.558992E000
1475537577.465,-9.616215E-06, 1.724100E000
1475537578.793,-2.404053E-05, 1.924527E000
1475537580.092,-1.923242E-05, 1.995348E000
1475537581.395,-2.884864E-05, 1.994396E000
1475537582.950,-2.404053E-05, 1.941362E000
1475537584.248,-2.884864E-05, 1.840297E000
1475537585.546,-1.442432E-05, 1.771583E000
1475537586.908,-2.404053E-05, 1.771693E000
1475537588.236,-1.923242E-05, 1.786916E000
1475537589.533,-1.442432E-05, 1.866493E000
1475537590.831,-2.884864E-05, 1.943927E000
1475537592.131,-3.365675E-05, 1.948177E000
1475537593.686,-1.442432E-05, 1.947939E000
1475537594.984,-9.616215E-06, 1.981059E000
1475537596.281,-1.923242E-05, 2.017532E000
1475537597.648,-1.923242E-05, 2.030172E000
1475537598.976,-1.442432E-05, 2.030044E000
1475537600.273,-1.442432E-05, 1.990530E000
1475537601.570, 0.000000E000, 1.904889E000
1475537603.133,-3.365675E-05, 1.836615E000
1475537604.431, 0.000000E000, 1.836761E000
1475537605.686,-1.442432E-05, 1.821722E000
1475537607.048,-9.616215E-06, 1.677497E000
1475537608.376,-2.404053E-05, 1.545363E000
1475537609.675,-1.442432E-05, 1.538090E000
1475537610.972,-2.884864E-05, 1.537761E000
1475537612.271,-1.442432E-05, 1.543897E000
1475537613.869,-2.884864E-05, 1.557765E000
1475537615.166,-2.884864E-05, 1.558149E000
1475537616.528,-2.884864E-05, 1.557160E000
1475537617.856,-2.884864E-05, 1.716443E000
