Source,C:\Users\Chris\Google Drive\Barrel of Makers\Windmill LED panel\Schematic\Logic&Oscillator\Logic&Oscillator.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-31 01:27:19

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-31
Comment,2.0.0 Split schematic up for 4 individual PWB designs.
Comment,2.0.1 Impliment differential signalling for inter-board communications.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Mfg","MfgPart","Library","Library Ref"
"MH1","#4 PTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole with ground connection.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","","","NewUnsorted","MOUNTING_HOLE_PTH"
"J3","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 1.","Y","SPEC","Explain critera for "ANY" Source","","","NewUnsorted","RJ45-Unshielded"
"U4","uA9638C","CPL-IIC-DIFFERENTIAL-DRIVER-DUAL*","Texas Instruments","UA9638CP","PDIP8","UA9638CP","https://octopart.com/ua9638cp-texas+instruments-503688","UA9638CP","https://store.ti.com/UA9638CP.aspx","+5VDC logic / 8Pin Dip","Differential driver for communication over twisted pair.","Y","ANY","Any uA9638C direct replacement, 5V TTL/CMOS compatible.","","","NewUnsorted","uA9638C"
"XU3","IC_Socket08","CPL-","3M","4808-3004-CP","PDIP8","4808-3004-CP","https://octopart.com/4808-3004-cp-3m-767259","517-4808-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4808-3004-CP","8pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","Any 8pin 0.1"pitch 0.3"width socket.","","","NewUnsorted","IC_Socket08"
"XU4","IC_Socket08","CPL-","3M","4808-3004-CP","PDIP8","4808-3004-CP","https://octopart.com/4808-3004-cp-3m-767259","517-4808-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4808-3004-CP","8pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","Any 8pin 0.1"pitch 0.3"width socket.","","","NewUnsorted","IC_Socket08"
"XU5","IC_Socket08","CPL-","3M","4808-3004-CP","PDIP8","4808-3004-CP","https://octopart.com/4808-3004-cp-3m-767259","517-4808-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4808-3004-CP","8pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","Any 8pin 0.1"pitch 0.3"width socket.","","","NewUnsorted","IC_Socket08"
"C9","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"C10","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"C11","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"C4","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
