Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/I&O_Epander/I&O_Epander.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-30 23:01:14

Title,Interactive Rainbow
Company,Sembazuru Circuits (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-19
Comment,2.0.0 Split schematic up for 4 individual PWB designs
Comment,2.0.1 Implement differential signalling for inter-board communication.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Library","Library Ref"
"MH1","#4 PTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole with ground connection.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","NewUnsorted","MOUNTING_HOLE_PTH"
"MH2","#4 NPTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole, electrically isolated.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","NewUnsorted","MOUNTING_HOLE_NPTH"
"J2","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 2.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J3","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 3.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J4","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 4.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J5","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 5.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J6","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 6.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J7","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 7.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J8","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 8.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J10","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Logic power oscillator input connector.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
