UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475544662.873,-1.442432E-05, 1.252993E000
1475544664.166,-5.224385E-32, 1.248304E000
1475544665.741,-1.442432E-05, 1.283439E000
1475544667.033,-1.442432E-05, 1.452761E000
1475544668.388,-2.404053E-05, 1.623072E000
1475544669.710,-5.224385E-32, 1.630601E000
1475544671.003,-5.224385E-32, 1.632341E000
1475544672.295,-2.884864E-05, 1.597077E000
1475544673.588,-1.923242E-05, 1.541626E000
1475544675.180,-1.923242E-05, 1.506069E000
1475544676.473,-4.808107E-06, 1.504164E000
1475544677.828,-5.224385E-32, 1.525817E000
1475544679.148,-1.442432E-05, 1.580041E000
1475544680.436,-4.808107E-06, 1.625435E000
1475544681.728, 4.808107E-06, 1.623456E000
1475544683.021,-1.442432E-05, 1.621991E000
1475544684.310, 4.808107E-06, 1.665169E000
1475544685.890,-4.808107E-06, 1.730493E000
1475544687.178, 9.616215E-06, 1.745369E000
1475544688.531,-4.808107E-06, 1.747402E000
1475544689.850, 4.808107E-06, 1.672789E000
1475544691.146,-4.808107E-06, 1.506051E000
1475544692.436,-1.923242E-05, 1.364152E000
1475544693.725,-9.616215E-06, 1.365801E000
1475544695.309,-4.808107E-06, 1.361918E000
1475544696.600,-9.616215E-06, 1.288367E000
1475544697.953,-1.442432E-05, 1.217528E000
1475544699.276, 4.808107E-06, 1.208570E000
1475544700.565,-5.224385E-32, 1.208204E000
1475544701.855, 9.616215E-06, 1.220899E000
1475544703.145, 9.616215E-06, 1.239218E000
1475544704.436,-2.404053E-05, 1.249476E000
1475544706.016,-1.442432E-05, 1.244841E000
1475544707.311,-9.616215E-06, 1.320700E000
1475544708.663,-9.616215E-06, 1.499474E000
1475544709.983,-9.616215E-06, 1.632652E000
1475544711.273,-5.224385E-32, 1.631901E000
1475544712.566,-5.224385E-32, 1.633001E000
1475544713.858,-4.808107E-06, 1.585078E000
1475544715.441,-9.616215E-06, 1.514496E000
1475544716.731,-5.224385E-32, 1.504494E000
1475544718.083,-2.884864E-05, 1.503174E000
1475544719.405,-4.808107E-06, 1.537138E000
1475544720.695,-1.923242E-05, 1.590098E000
1475544721.985,-1.442432E-05, 1.623511E000
1475544723.280,-9.616215E-06, 1.622083E000
1475544724.573,-5.224385E-32, 1.625032E000
1475544725.595,-1.442432E-05, 1.664729E000
1475544726.886,-9.616215E-06, 1.718623E000
1475544728.241,-4.808107E-06, 1.745350E000
1475544729.565,-1.923242E-05, 1.746504E000
1475544730.856,-1.923242E-05, 1.709280E000
1475544732.148,-2.404053E-05, 1.545436E000
1475544733.440,-4.808107E-06, 1.378716E000
1475544734.730, 4.808107E-06, 1.365526E000
1475544736.315,-1.442432E-05, 1.367248E000
1475544737.683,-9.616215E-06, 1.300421E000
1475544739.005, 4.808107E-06, 1.229051E000
1475544740.296,-5.224385E-32, 1.208625E000
1475544741.588, 4.808107E-06, 1.208149E000
1475544742.881,-9.616215E-06, 1.216356E000
1475544744.171,-1.442432E-05, 1.232128E000
1475544745.751, 4.808107E-06, 1.248139E000
1475544747.042,-9.616215E-06, 1.244896E000
1475544748.398,-1.442432E-05, 1.291573E000
1475544749.721,-9.616215E-06, 1.468460E000
1475544751.013,-4.808107E-06, 1.628421E000
1475544752.305,-9.616215E-06, 1.631645E000
1475544753.596, 1.923242E-05, 1.633037E000
1475544754.888,-4.808107E-06, 1.596051E000
1475544756.469,-5.224385E-32, 1.525890E000
1475544757.828,-1.923242E-05, 1.504750E000
1475544759.150,-9.616215E-06, 1.503174E000
1475544760.442,-2.404053E-05, 1.525853E000
1475544761.735,-9.616215E-06, 1.578667E000
1475544763.026,-5.224385E-32, 1.624354E000
1475544764.318,-5.224385E-32, 1.622559E000
1475544765.905,-1.923242E-05, 1.626003E000
1475544767.195,-3.365675E-05, 1.678889E000
1475544768.551,-1.442432E-05, 1.735898E000
1475544769.878,-9.616215E-06, 1.745662E000
1475544771.168,-1.923242E-05, 1.748007E000
1475544772.461,-9.616215E-06, 1.670646E000
1475544773.753,-4.808107E-06, 1.504145E000
1475544775.046,-2.884864E-05, 1.365197E000
1475544776.623,-1.442432E-05, 1.365856E000
1475544777.978,-4.808107E-06, 1.358510E000
1475544779.301,-2.884864E-05, 1.281406E000
1475544780.593,-1.923242E-05, 1.214908E000
1475544781.885,-9.616215E-06, 1.208314E000
1475544783.175,-2.404053E-05, 1.206921E000
1475544784.466,-1.442432E-05, 1.216685E000
1475544786.035,-2.884864E-05, 1.241434E000
1475544787.395,-2.404053E-05, 1.247260E000
1475544788.715,-2.404053E-05, 1.242662E000
1475544790.005,-2.404053E-05, 1.335245E000
1475544791.298,-9.616215E-06, 1.507864E000
1475544792.590,-1.923242E-05, 1.633001E000
1475544793.878,-2.404053E-05, 1.632121E000
1475544795.170,-2.884864E-05, 1.632414E000
1475544796.773,-3.846485E-05, 1.568811E000
1475544798.132,-3.365675E-05, 1.510246E000
1475544799.455,-2.404053E-05, 1.504420E000
1475544800.746,-2.884864E-05, 1.502368E000
1475544802.043,-3.846485E-05, 1.537303E000
1475544803.335,-2.884864E-05, 1.591014E000
1475544804.626,-9.616215E-06, 1.623566E000
1475544806.213,-1.442432E-05, 1.621734E000
1475544806.926,-1.923242E-05, 1.621789E000
1475544808.250,-5.224385E-32, 1.668906E000
1475544809.543,-1.923242E-05, 1.722598E000
1475544810.836,-2.884864E-05, 1.745808E000
1475544812.128,-4.808107E-06, 1.748684E000
1475544813.420,-2.404053E-05, 1.719392E000
1475544814.710,-1.923242E-05, 1.554467E000
1475544816.291,-1.923242E-05, 1.365966E000
1475544817.011,-3.365675E-05, 1.365215E000
1475544818.333,-9.616215E-06, 1.366149E000
1475544819.623,-1.442432E-05, 1.340265E000
1475544820.914,-2.884864E-05, 1.266403E000
1475544822.205,-9.616215E-06, 1.209376E000
1475544823.498,-4.808107E-06, 1.207306E000
1475544824.790,-1.923242E-05, 1.205291E000
1475544826.365,-2.404053E-05, 1.222328E000
1475544827.721,-9.616215E-06, 1.247663E000
1475544829.043,-2.404053E-05, 1.245611E000
1475544830.335,-2.884864E-05, 1.242533E000
1475544831.625,-2.884864E-05, 1.373165E000
1475544832.921,-2.884864E-05, 1.545216E000
1475544834.213,-1.442432E-05, 1.632231E000
1475544835.505,-9.616215E-06, 1.631938E000
1475544837.083,-2.404053E-05, 1.614095E000
1475544838.438,-9.616215E-06, 1.554742E000
1475544839.758,-2.884864E-05, 1.505006E000
1475544841.050,-9.616215E-06, 1.503413E000
1475544842.341,-1.442432E-05, 1.501489E000
1475544843.632,-3.365675E-05, 1.546902E000
1475544844.926,-2.884864E-05, 1.601437E000
1475544846.562,-2.404053E-05, 1.623017E000
1475544847.276,-1.442432E-05, 1.622943E000
1475544848.604,-9.616215E-06, 1.628751E000
1475544849.896,-2.404053E-05, 1.681985E000
1475544851.186,-2.404053E-05, 1.734615E000
1475544852.478,-4.327297E-05, 1.747640E000
1475544853.770,-1.923242E-05, 1.752586E000
1475544855.061,-2.404053E-05, 1.686034E000
1475544856.638,-2.404053E-05, 1.478920E000
1475544857.356,-2.884864E-05, 1.384358E000
1475544858.681,-1.442432E-05, 1.365636E000
1475544859.973,-9.616215E-06, 1.366662E000
1475544861.265,-3.365675E-05, 1.324236E000
1475544862.556,-2.884864E-05, 1.252297E000
1475544863.851,-4.327297E-05, 1.208204E000
1475544865.143,-2.404053E-05, 1.204851E000
1475544866.715,-1.442432E-05, 1.209688E000
1475544868.070,-9.616215E-06, 1.227823E000
1475544869.393,-1.442432E-05, 1.249275E000
1475544870.684,-4.808107E-06, 1.245556E000
1475544871.976,-1.442432E-05, 1.246820E000
1475544873.265,-9.616215E-06, 1.406616E000
1475544874.556,-2.884864E-05, 1.576615E000
1475544875.848,-1.923242E-05, 1.631828E000
1475544877.431,-1.923242E-05, 1.631938E000
1475544878.786,-4.808107E-06, 1.601419E000
1475544880.111,-1.923242E-05, 1.543714E000
1475544881.403,-5.224385E-32, 1.504622E000
1475544882.695,-2.404053E-05, 1.502570E000
1475544883.987,-3.365675E-05, 1.504841E000
1475544885.280,-1.442432E-05, 1.556702E000
1475544886.868,-9.616215E-06, 1.621954E000
1475544887.583,-1.923242E-05, 1.624171E000
1475544888.906,-9.616215E-06, 1.623914E000
1475544890.198,-1.923242E-05, 1.635748E000
1475544891.490,-4.808107E-06, 1.689075E000
1475544892.781,-1.442432E-05, 1.741723E000
1475544894.076,-1.923242E-05, 1.751377E000
1475544895.371,-3.846485E-05, 1.756177E000
1475544896.945,-1.442432E-05, 1.627706E000
