Reference, Value, Footprint, Datasheet, CommonPartLibrary, Mfg, MfgPart
D607,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D608,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D609,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R602,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D701,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D710,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U701,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U703,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U702,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R701,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C702,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R703,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C701,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C703,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D702,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D703,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D704,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D705,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D706,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D707,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D708,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D709,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R702,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D801,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D810,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U801,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U803,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U802,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R801,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C802,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R803,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C801,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C803,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D802,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D803,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D804,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D805,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D806,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D807,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D808,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D809,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R802,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D901,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D910,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U901,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U903,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U902,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R901,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C902,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R903,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C901,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C903,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D902,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D903,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D904,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D905,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D906,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D907,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D908,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D909,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R902,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1001,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1010,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1001,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1003,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1002,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1001,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1002,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1003,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1001,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1003,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1002,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1003,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1004,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1005,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1006,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1007,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1008,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1009,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1002,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1101,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1110,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1101,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1103,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1102,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1101,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1102,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1103,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1101,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1103,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1102,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1103,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1104,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1105,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1106,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1107,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1108,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1109,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1102,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1201,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1210,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1201,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1203,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1202,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1201,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1202,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1203,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1201,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1203,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1202,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1203,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1204,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1205,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1206,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1207,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1208,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1209,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1202,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1301,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1310,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1301,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1303,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1302,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1301,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1302,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1303,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1301,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1303,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1302,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1303,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1304,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1305,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1306,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1307,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1308,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
